,0,line,mypy,our,type,mypy,our
0,sorted,226,functype,functype,functype,,
1,valid_index,238,none,str;int,int,3,2
2,y,203,any,ndarray,ndarray,3,1
3,params,215,dict,dict,dict,1,1
4,X_test,242,dataframe,dataframe,dataframe,1,1
5,print,204,functype,functype,functype,,
6,tfidf,136,objecttype,objecttype,objecttype,1,1
7,train_tfids,141,any,dataframe ndarray,numpy.matrix,3,2
8,kf,197,objecttype,objecttype,objecttype,1,1
9,i,229,int,int,int,1,1
10,k,120,int,int,int,1,1
11,lgb_valid,218,objecttype,any,objecttype,1,3
12,KFold,152,classtype,classtype,classtype,1,1
13,importance,226,any,Iterable,ndarray,3,2
14,train_index,202,none,int;str,int,3,2
15,feature_names,204,list,list,list,3,1
16,train,187,dataframe;any,dataframe,dataframe,2,2
17,id_test,267,any,ndarray,ndarray,3,2
18,lgb,15,moduletype,any,moduletype,,
19,err_std,260,ndarray,ndarray,ndarray,1,2
20,TfidfVectorizer,9,moduletype,moduletype,moduletype,,
21,np,3,moduletype,moduletype,moduletype,,
22,cnt,263,int,int,int,1,1
23,lgb_params,199,Dict,Dict,Dict,1,1
24,err_mean,261,ndarray,ndarray,ndarray,1,1
25,target_col,179,str,str,str,1,1
26,test_tfids,142,any,dataframe;ndarray,numpy.matrix,3,2
27,n_features,195,any,int,int,3,1
28,model,237,objecttype,any,objecttype,1,3
29,test,190,dataframe;any,dataframe,dataframe,2,1
30,model_fnames,226,list,Iterable,list,1,2
31,subm,269,dataframe,dataframe,dataframe,1,1
32,extract_features,115,functype,functype,functype,,
33,p,238,any,ndarray,ndarray,3,1
34,n_splits,198,int,int,int,1,1
35,range,120,functype,functype,functype,,
36,pd,5,moduletype,moduletype,moduletype,,
37,X,195,ndarray,ndarray,ndarray,1,1
38,gc,2,moduletype,moduletype,moduletype,,
39,err,238,any,any,float,3,3
40,len,36,functype,functype,functype,,
41,x,111,lambda,lambda,lambda,1,1
42,err_buf,247,list,list,list,1,1
43,undersampling,156,int,int,int,1,1
44,preds,263,none,ndarray,ndarray,3,1
45,char_pairs,133,functype,functype,functype,,
46,p_buf,263,list;ndarray,ndarray,ndarray,2,1
47,f1_score,238,functype,functype;classtype,functype,,
48,list,184,functype,functype,functype,,
49,tuples,231,list,list,list,1,1
50,id_col,267,str,str,str,1,1
51,p_valid_buf,150,list,list,list,1,1
52,cols_to_drop,176,list,list,list,1,1
53,lgb_train,216,objecttype,any,objecttype,1,3
54,zip,266,functype,functype,functype,,
