var,line,type,shap,mypy,ourtype,ourshape,ourdem,mypy,our
indices,16,<class 'pandas.core.series.Series'>,"(125546,)",series,series,"(125546,)",1,1,1
test,16,<class 'pandas.core.frame.DataFrame'>,"(125546, 131)",dataframe,dataframe,"(125546, 131)",2,1,1
categorical,21,<class 'list'>,116,list,list,,,1,1
train,22,<class 'pandas.core.frame.DataFrame'>,"(188318, 132)",dataframe,dataframe,"(188318, 132)",2,1,1
num_train_rows,24,<class 'int'>,0,int,int,,,1,1
continuous,28,<class 'list'>,14,list,list,,,1,1
shift,29,<class 'numpy.float64'>,0,none,"[int,float]",,,3,2
mms,30,<class 'sklearn.preprocessing.data.MinMaxScaler'>,0,classtype,classtype,,,1,1
le,35,<class 'sklearn.preprocessing.label.LabelEncoder'>,0,classtype,classtype,,,1,1
df,38,<class 'pandas.core.frame.DataFrame'>,"(313864, 130)",any,dataframe,"(313864, 130)",2,3,1
params,50,<class 'dict'>,0,dict,dict,,,1,1
x_train,55,<class 'numpy.ndarray'>,"(188318, 130)",ndarray,ndarray,"(188318, 130)",2,1,1
x_test,56,<class 'numpy.ndarray'>,"(125546, 130)",ndarray,ndarray,"(125546, 130)",2,1,1
best_nrounds,74,<class 'int'>,0,int,int,,,1,1
res,75,<class 'pandas.core.frame.DataFrame'>,"(100, 4)",dataframe,dataframe,(none),,1,1
cv_mean,75,<class 'numpy.float64'>,0,any,"[int,float,str]",,,3,2
cv_std,76,<class 'numpy.float64'>,0,any,"[int,float,str]",,,3,2
dtrain,79,<class 'xgboost.core.DMatrix'>,0,classtype,any,,,1,3
dtest,81,<class 'xgboost.core.DMatrix'>,0,classtype,any,,,1,3
model,81,<class 'xgboost.core.Booster'>,0,any,any,,,3,3
submission,84,<class 'pandas.core.frame.DataFrame'>,"(125546, 2)",dataframe,dataframe,"(125546, 2)",2,1,1
y_train,87,<class 'pandas.core.series.Series'>,"(188318,)",none,ndarray,"(188318,)",1,3,3
predictions,88,<class 'numpy.ndarray'>,"(125546,)",none,ndarray,"(125546,)",1,3,3
