,0
0,img_list
1,validation_images
2,sample_submission
3,W_fc1
4,x
5,epochs_completed
6,b_conv2
7,labels
8,W_conv1
9,y_
10,predicted_lables
11,b_fc1
12,image_height
13,h_pool2_flat
14,labels_count
15,validation_accuracy
16,image_size
17,b_fc2
18,image_width
19,set
20,label
21,i
22,batch_xs
23,LEARNING_RATE
24,display_step
25,sess
26,h_conv2
27,predict
28,img
29,accuracy
30,filenames
31,init
32,data
33,list
34,TRAINING_ITERATIONS
35,range
36,h_conv1
37,correct_prediction
38,batch_ys
39,pics_to_use
40,labels_flat
41,cross_entropy
42,W_conv2
43,train_accuracies
44,g
45,image
46,test_images
47,train_images
48,IMAGE_TO_DISPLAY
49,h_pool1
50,train_step
51,h_fc1_drop
52,h_pool2
53,train_accuracy
54,str
55,subjectnames
56,print
57,b_conv1
58,layer2
59,VALIDATION_SIZE
60,index_in_epoch
61,zip
62,num_examples
63,x_range
64,images
65,train_labels
66,f
67,validation_labels
68,colnames
69,h_fc1
70,layer1_grid
71,img2
72,y
73,BATCH_SIZE
74,W_fc2
75,keep_prob
76,h
77,c
78,DROPOUT
79,layer1
80,foldernames
81,validation_accuracies
82,int
83,tuple
84,len
