airbnb-recruiting-new-user-bookings,4,6,0,6,0,1
allstate-claims-severity,14,28,6,32,8,15
bnp-paribas-cardif-claims-management,10,19,2,19,2,9
bosch-production-line-performance,4,5,2,5,2,4
carvana-image-masking-challenge,2,2,0,2,0,2
caterpillar-tube-pricing,8,14,2,15,2,3
costa-rican-household-poverty-prediction,3,10,0,12,0,2
coupon-purchase-prediction,1,2,0,2,0,1
crowdflower-search-relevance,3,6,3,8,5,7
digit-recognizer,36,95,44,107,49,63
expedia-hotel-recommendations,5,9,5,9,5,6
facebook-v-predicting-check-ins,19,36,12,41,16,26
favorita-grocery-sales-forecasting,5,5,0,5,0,1
flavours-of-physics,1,2,2,2,2,2
ghouls-goblins-and-ghosts-boo,2,8,1,8,1,1
grupo-bimbo-inventory-demand,10,18,3,18,3,5
home-credit-default-risk,15,51,6,51,6,9
homesite-quote-conversion,3,5,2,5,2,2
house-prices-advanced-regression-techniques,24,122,25,128,28,43
how-much-did-it-rain,2,2,2,2,2,2
instacart-market-basket-analysis,5,11,2,11,2,6
introducing-kaggle-scripts,4,4,3,4,3,3
jigsaw-toxic-comment-classification-challenge,7,14,6,15,6,8
kobe-bryant-shot-selection,10,20,15,33,27,28
leaf-classification,1,4,0,4,0,1
liberty-mutual-group-property-inspection-prediction,15,32,20,48,27,40
mercedes-benz-greener-manufacturing,7,15,8,21,12,16
new-york-city-taxi-fare-prediction,3,5,1,6,1,1
nyc-taxi-trip-duration,2,7,1,7,1,3
otto-group-product-classification-challenge,3,6,4,6,4,6
PLAsTiCC-2018,2,8,4,15,9,9
porto-seguro-safe-driver-prediction,9,58,2,59,2,7
predicting-red-hat-business-value,5,9,1,9,1,3
prudential-life-insurance-assessment,11,32,21,38,25,28
pubg-finish-placement-prediction,8,18,4,20,4,7
quora-question-pairs,2,3,1,3,1,2
recruit-restaurant-visitor-forecasting,5,7,2,8,2,5
rossmann-store-sales,8,24,6,27,6,10
santa-gift-matching,3,6,3,6,3,5
santander-customer-satisfaction,9,27,4,30,5,11
santander-product-recommendation,5,11,6,17,9,14
santander-value-prediction-challenge,5,14,4,15,4,4
sberbank-russian-housing-market,22,364,318,525,478,493
sf-crime,7,41,12,41,12,19
shelter-animal-outcomes,7,84,62,86,63,66
springleaf-marketing-response,2,4,0,4,0,1
talkingdata-adtracking-fraud-detection,3,4,1,4,1,1
talkingdata-mobile-user-demographics,10,16,7,19,8,10
tap30challenge,2,4,1,5,1,1
titanic,161,674,95,699,107,247
web-traffic-time-series-forecasting,6,13,2,15,2,5
whats-cooking-kernels-only,2,10,2,12,2,3
whats-cooking,2,2,0,2,0,0
zillow-prize-1,6,9,0,11,0,0
traveling-santa-2018-prime-paths,4,5,0,5,0,0
the-nature-conservancy-fisheries-monitoring,1,1,0,1,0,0
home-depot-product-search-relevance,8,9,0,9,0,0
santas-uncertain-bags,1,2,0,2,0,0
forest-cover-type-kernels-only,1,4,0,5,0,0
transfer-learning-on-stack-exchange-tags,1,1,0,1,0,0
elo-merchant-category-recommendation,1,1,0,1,0,0
catch-me-if-you-can-intruder-detection-through-webpage-session-tracking2,1,2,0,2,0,0
donorschoose-application-screening,1,1,0,1,0,0
microsoft-malware-prediction,1,1,0,1,0,0
ga-customer-revenue-prediction,1,1,0,1,0,0
santas-stolen-sleigh,1,1,0,1,0,0
predict-west-nile-virus,1,1,0,1,0,0
